"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr1","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr1","Tem_irr2","Tem_irr3"
"Adora1",0,0,0,0,2,0,0,10,0,0,22,0
"Prim2",893,621,540,692,554,714,591,494,600,436,822,584
"Sntg1",9,0,0,6,0,0,1,26,3,0,0,0
"Cflar",3572,3990,2719,2326,4917,5097,3887,5075,2254,3253,3229,4089
"Adgrb3",29,12,2,0,0,1,0,18,20,0,0,6
"Obsl1",0,0,0,0,12,0,4,3,11,21,0,7
"Gpr39",0,0,0,0,0,0,0,0,0,0,0,3
"Pld5",4,0,4,200,0,0,0,42,2,0,0,2
"Syt14",2,0,0,0,0,0,0,0,2,12,0,0
"A830018L16Rik",0,0,0,0,0,0,6,18,0,0,0,0
"Lactb2",1008,1003,582,1269,1361,1867,1455,1279,967,1026,1243,1442
"Efhc1",0,0,6,272,0,9,2,63,0,0,0,2
"Lonrf2",0,0,0,0,0,0,0,3,0,0,0,0
"Actr1b",2773,3994,3923,2980,3970,5283,3517,3167,3565,3532,4922,4656
"Dnah7b",77,2,6,0,0,0,3,4,11,0,0,0
"Pgap1",2346,1999,1692,2303,423,509,743,994,410,462,809,114
"Dnah7a",38,0,2,2,3,0,0,10,2,2,3,0
"Plcl1",923,216,146,10,6,240,470,560,148,210,16,20
"Pard3b",0,0,69,260,0,0,3,0,10,0,0,0
"Bmpr2",706,242,28,218,244,36,330,534,238,142,146,40
"Spag16",33,2,0,0,0,0,7,8,0,0,0,0
"Abca12",79,0,0,0,0,0,30,7,19,2,0,0
"Xrcc5",1441,1544,1534,886,1702,1580,1619,1489,1848,1491,2065,2706
"Usp37",3082,3909,1362,1732,1860,2879,1878,3156,2895,1681,1912,1687
"Erbb4",0,0,0,0,0,0,0,4,6,0,0,3
"D530049I02Rik",0,0,0,0,0,0,0,1,0,0,0,0
"Pinc",0,0,0,0,0,0,0,1,0,0,0,0
"Dock10",17499,19123,16824,14321,20379,20040,19584,21849,20846,20028,10719,19210
"Dis3l2",568,1915,1764,942,2160,1940,1235,1477,1480,1666,1885,1167
"Sh3bp4",152,98,112,0,34,82,198,272,70,294,0,116
"Ugt1a9",1,1,20,0,0,0,0,0,0,0,0,0
"Slc16a14",54,0,0,0,0,0,16,0,12,0,89,0
"Pask",43,18,0,0,16,32,98,42,28,0,0,17
"Serpinb12",0,0,0,0,0,0,0,0,9,0,0,0
"Cntnap5a",0,0,0,0,0,0,0,0,32,0,0,0
"Dpp10",73,0,2,0,20,0,6,19,8,0,0,0
"Clasp1",2246,3060,1669,1464,1542,1720,1846,2236,1971,1737,721,1309
"Mapkapk2",5572,5634,1111,344,382,682,1807,6631,3565,6502,890,926
"Cdk18",198,78,184,0,0,100,166,216,4,76,0,4
"Rab3gap1",3840,5329,4841,5865,5738,4250,4060,2944,3871,3440,2825,4583
"Thsd7b",3,17,135,0,142,119,10,22,63,8,120,104
"Rnpep",4046,4229,4303,4330,4091,5047,6746,4620,4009,3860,5169,5497
"Camsap2",1735,1849,663,680,1489,1144,1556,1473,1266,1950,68,952
"Aspm",738,153,68,514,310,203,61,79,19,76,0,86
"Kcnt2",0,0,0,0,0,0,0,0,6,0,0,0
"Pla2g4a",1491,723,1310,424,180,1012,2722,2722,890,1247,2464,532
"Cdc73",1199,1864,310,702,384,520,902,1088,1677,2227,572,548
"Stx6",2957,3156,3822,3146,3051,3660,3401,2545,3005,2889,3194,2983
"1700025G04Rik",468,1805,1014,484,2339,2202,2883,2417,3257,1734,2154,1938
"Nmnat2",48,195,61,324,165,74,112,90,133,323,179,263
"Brinp2",2,0,0,0,2,0,11,3,2,0,0,0
"Rasal2",178,28,4,0,36,0,195,186,149,0,130,4
"Rcsd1",8424,9513,11731,15521,6395,5762,8407,7867,6715,6505,8388,8381
"Rabgap1l",5592,5449,4809,6785,6198,5095,3382,3474,3819,3207,4310,4309
"Rgs7",0,0,4,0,0,0,2,0,0,0,0,0
"Fcrla",5822,5383,8279,10276,514,955,305,200,361,132,154,153
"Cnih3",0,0,0,0,0,0,14,35,30,0,4,0
"Itpkb",557,715,484,235,282,347,360,244,569,621,424,181
"Smyd3",1750,1413,1930,1032,1735,2364,1314,1463,1762,1548,1864,2569
"Akt3",689,878,438,148,548,330,249,361,643,637,452,684
"Trp53bp2",589,1209,1535,1519,1152,2068,1195,1159,1264,580,594,1083
"Mir297c",0,0,0,0,0,0,2,0,0,0,0,0
"Esrrg",0,0,0,0,0,0,0,1,10,0,0,0
"Ptpn14",705,336,119,204,149,0,6,32,2,2,15,10
"Rps6kc1",862,784,1202,922,893,829,1980,2026,989,848,1244,840
"Ush2a",15,0,16,0,0,0,6,17,1,25,0,9
"Tgfb2",0,0,14,102,0,42,0,16,8,0,0,0
"A330023F24Rik",20,33,24,309,113,179,43,204,133,25,64,68
"Xkr4",0,0,0,0,0,0,16,4,0,0,0,0
"Rgs20",0,0,0,0,16,0,11,8,0,0,0,0
"Atp6v1h",5946,5197,4859,5138,6561,5686,6777,6546,5918,5192,8601,7405
"St18",0,0,0,0,0,0,6,76,2,4,0,0
"Adhfe1",544,55,270,71,75,83,526,241,162,98,144,104
"Arfgef1",3473,5237,1881,1564,3023,2503,1563,4274,4041,4713,1337,1868
"Sgk3",3148,2920,2131,5177,1270,1000,1774,2323,1084,1313,1550,1268
"Mybl1",100,42,44,0,32,4,98,198,5,96,145,4
"Cspp1",623,996,961,936,905,1136,703,618,712,443,1074,639
"Tcf24",0,26,0,0,0,0,0,0,0,0,0,0
"2610203C22Rik",0,0,4,0,0,0,36,35,0,0,0,0
"Prex2",0,6,6,2,0,0,0,4,3,2,0,0
"Sulf1",0,0,0,0,0,0,4,0,6,0,0,0
"Ncoa2",3776,4876,3866,3814,3794,3314,4282,3693,4211,3667,3213,3079
"Slco5a1",134,130,78,2,0,0,167,186,2,30,20,0
"Eya1",0,38,166,7,80,0,72,30,23,0,0,0
"Stau2",527,207,132,489,2,0,286,324,62,80,178,3
"Rdh10",628,487,326,66,884,596,578,284,272,284,191,207
"Eloc",4485,3709,3212,4530,4588,5078,3823,4208,4550,4114,4433,5326
