"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr2","Tem_irr3"
"Cflar",1.92976442,1.839383971,1.249462242,2.346352544,2.356068509,1.839689678,2.400235444,1.108062137,1.4198314,1.666665837
"Lactb2",0.693233547,0.588608636,0.340457659,0.826756042,1.098610621,0.876635833,0.770042219,0.605149769,0.69577057,0.748208914
"Actr1b",4.351940393,5.348694421,5.236878056,5.503307615,7.094047888,4.835513761,4.351170342,5.091080472,6.287102852,5.512957174
"Pgap1",0.709008021,0.515516526,0.434955256,0.112918141,0.13161984,0.196720283,0.26298712,0.112752026,0.198997467,0.025993608
"Xrcc5",0.421392984,0.385280717,0.381566083,0.439625717,0.395330975,0.414770018,0.381191292,0.491748049,0.49149518,0.597021114
"Usp37",0.725216934,0.784887893,0.272604797,0.386588081,0.57963874,0.387140028,0.650125574,0.619870872,0.366183758,0.299494577
"Dock10",1.739691742,1.622264831,1.42268717,1.789543063,1.704657857,1.705680395,1.901584326,1.885815335,0.867339707,1.440870713
"Mapkapk2",3.231968405,2.788556825,0.548139554,0.195712955,0.33847049,0.918229704,3.367130744,1.881624208,0.420166954,0.405233708
"Rab3gap1",1.308804625,1.549872507,1.403459109,1.727445498,1.239404199,1.212290821,0.878428375,1.200560711,0.783678506,1.178506636
"Rnpep",4.845301365,4.321547176,4.383160222,4.327375767,5.171406261,7.07747655,4.843528335,4.368660851,5.038222405,4.966600536
"Stx6",1.527700395,1.391331182,1.67957203,1.392288666,1.617887756,1.539326284,1.151064358,1.412695955,1.34306696,1.162729519
"Rcsd1",3.429099132,3.304348435,4.061793135,2.299336029,2.006852124,2.998057211,2.803469178,2.487282177,2.779047634,2.573926263
"Fcrla",14.889678,11.74746452,18.00993195,1.161118213,2.089762409,0.683360907,0.447783466,0.840112923,0.320560283,0.295218191
"Trp53bp2",0.283052099,0.495774338,0.62745206,0.488994279,0.850319338,0.503102154,0.487595259,0.552733158,0.232334346,0.392661318
"Atp6v1h",1.64508081,1.226935425,1.143484586,1.603365678,1.346014143,1.642619612,1.585489192,1.48989153,1.936810657,1.545702726
"Arfgef1",0.934726742,1.202732692,0.430615605,0.718651349,0.576396282,0.368532717,1.007022921,0.989660174,0.292878289,0.37931091
"Sgk3",0.784259505,0.620746924,0.451574699,0.279466015,0.213159898,0.387182633,0.506639715,0.245737654,0.314291512,0.238332297
"Rdh10",0.574866956,0.380402463,0.253832009,0.714759902,0.466803817,0.463524535,0.227588857,0.226565597,0.14230395,0.142960687
"Eloc",7.494122428,5.288369929,4.565149004,6.771454413,7.259913885,5.596284965,6.155438845,6.918104083,6.028814962,6.714258796
"Ptpn18",10.7051837,12.80299522,13.82016447,11.85680588,11.0246585,9.011966732,11.49469832,12.84190343,13.97687913,13.57641115
"Plekhb2",7.931477049,6.237572485,8.470196675,9.059204845,9.582518474,10.10236919,9.580438357,7.670387605,10.95971544,7.465342054
"Uggt1",2.363931711,2.065966451,1.877331323,2.211382808,2.18601425,1.985164618,2.170035654,2.421755865,1.585408162,2.068498904
"Lman2l",1.319013479,1.390356797,1.640486288,1.268307804,1.225997599,1.700211919,1.203230718,0.998515534,1.743607523,1.360061371
"Mgat4a",0.38892527,0.535293997,0.30148202,0.302618878,0.23520186,0.499508716,0.600963048,0.596938305,0.208369677,0.247279003
"Mitd1",2.82989596,4.177593114,3.09183604,5.113610073,3.037162401,5.948015544,5.645190183,8.779979537,5.858279457,7.863582863
"Eif5b",2.12694051,1.442770171,1.363675314,1.247225206,1.285003332,1.787000886,1.609013166,1.835482762,1.615702966,1.207214928
"Mrps9",0.527408832,0.788176993,0.81965197,0.780571345,0.912979099,0.749897099,0.476939103,0.682232788,0.942694844,0.834478299
"Ercc5",1.15590242,1.164132758,1.089404816,1.052789971,1.003431107,1.716602181,1.07361413,1.700744669,2.160285045,1.603160369
"Gls",1.818097784,1.236863894,0.347539838,0.649550482,0.641759147,0.597652099,0.726620801,1.275576061,0.542710326,0.530191062
"Stat4",1.304690897,2.514079604,2.561024401,4.620948788,4.475124927,2.551054136,2.076783325,3.234104765,3.76793061,4.236420686
"Asnsd1",4.752502223,4.534720094,4.76958192,3.982067455,4.612099091,3.324058734,3.824978005,4.504050036,4.457610225,4.328367701
"Mfsd6",0.724236133,1.063545166,0.474715622,0.65272878,0.490751738,0.600140435,0.896258202,1.021249483,0.674632935,0.737138236
"Ankrd44",0.745689,0.926090649,0.642642924,1.013321472,1.198986498,0.756115201,0.826767911,0.95209326,0.443332522,0.693418976
"Maip1",2.690303575,1.301877061,1.799594076,2.368522881,1.821532789,1.990430265,1.773139333,1.89512813,2.505031211,2.488172436
"Ndufb3",12.4169714,5.660215135,7.044210729,9.896421883,9.831039482,8.502607778,10.07979698,10.85396416,12.46108495,11.66182632
"Nif3l1",1.329816899,0.890522132,0.961312967,1.162890357,1.454971839,1.128315163,1.05967067,1.131936139,1.375522009,1.687965165
"Tmem237",0.437802626,0.400029433,0.381179225,0.634240059,0.629845391,0.496684229,0.494066098,0.333744688,0.590732502,0.44722897
"Stradb",2.524472135,2.234851195,2.555369058,2.069897009,2.134331016,1.427592206,1.484113474,1.178479236,1.955194544,1.43825619
"Ndufs1",2.738339369,3.251993203,3.694900111,4.566068039,4.246477977,3.114745586,3.024194649,3.036909036,3.769335795,3.836817665
"Pikfyve",0.746053521,0.645159833,0.256957986,0.099509936,0.203258875,0.452056076,0.415933624,0.446252726,0.152370945,0.149007503
"Acadl",3.159271958,2.477019292,3.780539494,3.700035429,4.253181632,3.879250213,3.83225456,3.465673147,4.598778629,3.797975867
"Rpe",3.780956795,3.753497001,2.671054056,4.004491193,2.817259375,3.92686657,3.605208403,4.197803272,3.951266756,4.372013235
"Atic",0.601117513,0.665461121,0.233379973,0.449503621,0.442243794,0.332129061,0.431557142,0.659906261,0.627321271,0.475854084
"Smarcal1",0.784524691,0.633978238,0.553836836,0.547477504,0.287993978,0.320947893,0.376416024,0.375848109,0.261426345,0.346078985
"Pnkd",0.547154895,0.577739832,0.509096467,0.38301792,0.477391875,0.409888202,0.470853448,0.38950062,0.612864864,0.38247992
"Zfp142",1.108170664,1.35465399,0.871034564,1.011098169,0.635587765,0.450985637,1.174627448,0.907642287,0.610911292,0.944656147
"Serpine2",0.046235408,0.058690591,0.032502024,0.054676984,0.003923295,6.330878358,5.573671989,6.53400836,7.239849371,7.535583221
"Trip12",1.646466906,1.820792576,0.733988333,1.35028366,1.282115225,1.651373361,1.566062333,1.795265991,0.674576246,0.949774986
"Sp110",10.7115189,11.54263257,10.98738654,10.80938937,9.783438201,11.42694204,14.03675712,16.987286,12.06653191,12.99922488
