"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr2","Tem_irr3"
"Cflar",3572,3990,2719,4917,5097,3887,5075,2254,3229,4089
"Lactb2",1008,1003,582,1361,1867,1455,1279,967,1243,1442
"Actr1b",2773,3994,3923,3970,5283,3517,3167,3565,4922,4656
"Pgap1",2346,1999,1692,423,509,743,994,410,809,114
"Xrcc5",1441,1544,1534,1702,1580,1619,1489,1848,2065,2706
"Usp37",3082,3909,1362,1860,2879,1878,3156,2895,1912,1687
"Dock10",17499,19123,16824,20379,20040,19584,21849,20846,10719,19210
"Mapkapk2",5572,5634,1111,382,682,1807,6631,3565,890,926
"Rab3gap1",3840,5329,4841,5738,4250,4060,2944,3871,2825,4583
"Rnpep",4046,4229,4303,4091,5047,6746,4620,4009,5169,5497
"Stx6",2957,3156,3822,3051,3660,3401,2545,3005,3194,2983
"Rcsd1",8424,9513,11731,6395,5762,8407,7867,6715,8388,8381
"Fcrla",5822,5383,8279,514,955,305,200,361,154,153
"Trp53bp2",589,1209,1535,1152,2068,1195,1159,1264,594,1083
"Atp6v1h",5946,5197,4859,6561,5686,6777,6546,5918,8601,7405
"Arfgef1",3473,5237,1881,3023,2503,1563,4274,4041,1337,1868
"Sgk3",3148,2920,2131,1270,1000,1774,2323,1084,1550,1268
"Rdh10",628,487,326,884,596,578,284,272,191,207
"Eloc",4485,3709,3212,4588,5078,3823,4208,4550,4433,5326
"Ptpn18",6679,9361,10137,8375,8039,6418,8192,8805,10714,11227
"Plekhb2",9174,8455,11518,11863,12954,13338,12658,9750,15575,11445
"Uggt1",9631,9864,8992,10200,10409,9232,10099,10843,7936,11170
"Lman2l",1309,1617,1914,1425,1422,1926,1364,1089,2126,1789
"Mgat4a",1545,2492,1408,1361,1092,2265,2727,2606,1017,1302
"Mitd1",1726,2986,2217,3531,2165,4141,3933,5885,4390,6357
"Eif5b",4784,3803,3606,3176,3378,4588,4134,4537,4465,3599
"Mrps9",1122,1965,2050,1880,2270,1821,1159,1595,2464,2353
"Ercc5",1509,1781,1672,1556,1531,2558,1601,2440,3465,2774
"Gls",4957,3952,1114,2005,2045,1860,2263,3822,1818,1916
"Stat4",6119,13818,14121,24536,24530,13657,11126,16669,21712,26335
"Asnsd1",5059,5657,5969,4799,5738,4039,4651,5269,5830,6107
"Mfsd6",2014,3466,1552,2055,1595,1905,2847,3121,2305,2717
"Ankrd44",8188,11917,8296,12597,15387,9477,10370,11489,5981,10092
"Maip1",1222,693,961,1218,967,1032,920,946,1398,1498
"Ndufb3",4648,2483,3100,4194,4301,3633,4310,4465,5731,5786
"Nif3l1",1905,1495,1619,1886,2436,1845,1734,1782,2421,3205
"Tmem237",339,363,347,556,570,439,437,284,562,459
"Stradb",2189,2271,2605,2032,2163,1413,1470,1123,2083,1653
"Ndufs1",3556,4949,5641,6713,6445,4617,4486,4334,6014,6604
"Pikfyve",2682,2718,1086,405,854,1855,1708,1763,673,710
"Acadl",4004,3679,5633,5309,6300,5612,5548,4827,7161,6380
"Rpe",2803,3261,2328,3361,2441,3323,3053,3420,3599,4296
"Atic",528,685,241,447,454,333,433,637,677,554
"Smarcal1",1529,1448,1269,1208,656,714,838,805,626,894
"Pnkd",1470,1819,1608,1165,1499,1257,1445,1150,2023,1362
"Zfp142",1001,1434,925,1034,671,465,1212,901,678,1131
"Serpine2",121,180,100,162,12,18912,16662,18792,23279,26139
"Trip12",7676,9948,4023,7127,6986,8788,8340,9198,3864,5869
"Sp110",9173,11584,11062,10480,9792,11170,13731,15987,12696,14755
"A630001G21Rik",3072,2852,3096,2135,977,1254,1255,1705,1048,1239
"Psmd1",6356,7405,8400,7420,9727,9337,9808,7088,11359,8835
"Inpp5d",11440,13945,17272,14709,15963,14214,13957,10857,11765,13352
"Gigyf2",2538,2342,1927,2401,2910,3119,1855,3363,1243,1775
"Lrrfip1",11415,14836,15963,20697,21819,14063,14464,14548,15786,16920
"D2hgdh",612,1578,2122,1690,1482,1820,1434,1343,1376,1910
"Hdlbp",6518,6865,5827,4711,6718,8141,7574,6703,5120,6240
"Bcl2",6390,11250,8619,12461,7386,30758,30638,38273,30131,37216
"Ptpn4",964,2097,2090,6112,5705,3756,3976,4533,6902,10280
"Ccdc93",1723,2474,1328,1657,2207,1892,1684,1216,1676,803
"Ccnt2",4695,3921,3158,4263,4539,3806,3361,4029,3160,3612
"Rassf5",18165,22213,29124,41314,42523,24344,24302,25375,33612,40263
