#568,#158,#45,#3,#18,#121,#5
Pgap1,Mitd1,Eif2d,Sdc3,Ephx1,Serpine2,Gstm1
Mapkapk2,Ptpn4,2310009B15Rik,Lrp1,Dyrk3,Bcl2,Oas2
Fcrla,Ifi203,Mr1,Adam19,Tpd52,Stat1,Wfdc17
Sgk3,Ptp4a1,Rabepk,,Plac8,Tmem37,Ifi27l2a
Pikfyve,Slc40a1,S100a4,,Hcar2,Marco,Scd2
Ncf2,Nabp1,Gne,,Clec7a,Ikbke,
Ralgps2,Arl4c,Tmem268,,Ldhb,Phlda3,
Kmo,Mdm4,Fuca1,,Ifitm3,Tnfsf4,
Lpgat1,Rgs1,Btbd19,,St14,Slc19a2,
Traf5,Fasl,Tnfrsf9,,Nek8,Ifi204,
Cr2,Creg1,2610524H06Rik,,Slfn4,Ifi211,
Ogfrl1,Nectin4,Mgst1,,Socs3,Commd3,
Rpl31,Ifi214,Gstk1,,Dusp22,Nrarp,
Rnf149,Ifi213,Rps19,,Hk3,Zbp1,
Eef1b2,Ifi208,Il21r,,Ptp4a3,Fabp5,
Cxcr2,Ifi207,Aga,,Ly6e,Zmat3,
Cyp27a1,Il2ra,Cdk10,,Cacnb3,Mov10,
B3gnt7,Atp8b4,Ano10,,Treml2,Psrc1,
Dgkd,Il15ra,Tmem205,,,Ifi44,
Rnpepl1,Fcna,Sat1,,,Trp53inp1,
Cd55,Lcn4,Ulbp1,,,Glipr2,
Fcmr,Ifih1,Zfp365,,,Tnfsf8,
Nuak2,Galnt3,Mif,,,Sesn2,
Chil1,Sdcbp2,Ifi35,,,Aldh4a1,
Rgs18,Znfx1,Tcn2,,,Fndc10,
Sell,Sec24d,Naglu,,,Tnfrsf18,
Atp1b1,Fabp4,Dcaf4,,,Isg15,
Fcgr4,Tnfsf10,Coq6,,,Cdk6,
Fcer1g,Cd5l,Serpina3g,,,Lap3,
Slamf8,S100a6,Abhd4,,,Cxcl10,
Zbtb18,Fcgr1,Zfp41,,,Gbp6,
Coq8a,Slc25a24,Ddx23,,,Oasl1,
Parp1,Gbp7,Rpl24,,,Oasl2,
Pip4k2a,Gbp2,Klhl22,,,Oas1g,
Crat,Wwp1,Ccdc58,,,Oas1a,
Abl1,Reck,Cd80,,,Akr1b10,
Gsn,Ttc39b,Pim1,,,Gpnmb,
Tank,Txn1,Kank3,,,Herc6,
Cdca7,Trim32,Lta,,,Tmem150a,
Trp53i11,Tlr4,Cyb5a,,,Usp18,
Hdc,Hacd4,Sac3d1,,,Cd69,
Il1b,Prdx1,Ckmt1,,,Etfbkmt,
Ptpra,Plk3,D430020J02Rik,,,Aen,
Pkig,Tlr12,2810029C07Rik,,,Trim30a,
Gnas,Fblim1,Foxh1,,,Adam8,
Tubb1,AW011738,,,,Cox6b2,
Otud1,Gbp4,,,,Bbc3,
Il1rn,Trafd1,,,,Flt3l,
Bmyc,Hip1,,,,Bax,
Rpl7a,Gbp9,,,,Ddias,
Slc2a6,Gbp10,,,,Il18bp,
Ralgds,Oas3,,,,Trim30d,
Gfi1b,Ccl24,,,,Dcun1d3,
Miga2,Osbpl3,,,,Irf7,
Lcn2,Il12rb2,,,,Pidd1,
Rpl12,Ccnd2,,,,Zfp958,
Stom,Amn1,,,,Gdf15,
Arl5a,Tmem229a,,,,Bst2,
Dapl1,Akr1b7,,,,Gcdh,
Pdk1,Parp12,,,,Cpne2,
Prg2,Prss2,,,,Mlkl,
Spi1,Gimap3,,,,Thyn1,
Dgkz,Cd8a,,,,4931406C07Rik,
Lmo2,Clec4n,,,,Ei24,
Bmf,Cd163,,,,Rps27l,
Ell3,Itpripl2,,,,Slc25a36,
Ncaph,Art2b,,,,Cish,
Dusp2,1600014C10Rik,,,,Pim2,
Smox,Nkg7,,,,Spin2c,
Cst3,Furin,,,,Mdm2,
Hck,Dnajb13,,,,Lilrb4a,
Actr5,Inppl1,,,,Lilr4b,
Ttpal,Ifitm1,,,,Ddit4,
Sdc4,Ctsd,,,,Socs2,
Mmp9,Gsr,,,,Glipr1,
Cd40,Ddx60,,,,Cd63,
Zfas1,B3gnt3,,,,Snhg15,
Cebpb,Rbl2,,,,Ccng1,
Stx16,Nlrc5,,,,Irgm1,
Ctsz,Lpl,,,,Tgtp1,
Rps21,Tmem221,,,,Tgtp2,
Cables2,Hmox1,,,,Irgm2,
Ythdf1,Adgrg5,,,,Igtp,
Helz2,Ccdc102a,,,,Xaf1,
Srms,Csnk1g1,,,,Slfn5,
Bank1,Ccr5,,,,Slfn1,
Foxo1,Pdcd6ip,,,,Dhx58,
Ctss,Dse,,,,Lgals3bp,
Notch2,Cstb,,,,Dcxr,
Nfkb1,Igf1,,,,Cmpk2,
Il12a,Apaf1,,,,Serpina3f,
1110032F04Rik,Ifng,,,,Polk,
Tlr2,Abcc3,,,,Plk2,
Fcrl1,Osm,,,,Gzmb,
Etv3,Nefh,,,,Phf11d,
Mef2d,Ifi47,,,,Phf11a,
S100a9,Sec24a,,,,Cmbl,
S100a8,Gm12253,,,,Ly6a,
Mcl1,Hic1,,,,Gtse1,
Ecm1,Mir22hg,,,,Aaas,
BC028528,Slfn8,,,,Socs1,
Plekho1,Heatr5a,,,,Rtp4,
Chil5,Acot1,,,,Parp9,
Cnn3,Lpin1,,,,Mx1,
Ube2r2,Id2,,,,Cdkn1a,
Tdrd7,Bcap29,,,,H2-T24,
Snx30,Zbtb42,,,,H2-T-ps,
Kdm1a,Serpinb9,,,,A530064D06Rik,
Lyn,Ctsl,,,,Eif2ak2,
Rps20,F2r,,,,Iigp1,
Tmem64,F2rl2,,,,Pmaip1,
Cd72,Ppp3cc,,,,Ms4a4c,
Rmrp,Trim13,,,,Ms4a6d,
Jun,Phf11b,,,,Fas,
Bend5,Ctsb,,,,Ifit3,
Rps8,Tnfrsf10b,,,,Ifit1,
Szt2,Slc39a14,,,,Ifit3b,
Mycl,Il7r,,,,1700007K13Rik,
Zc3h12a,Ly6c2,,,,Cel,
Csf3r,Il2rb,,,,Cpa1,
Zfp362,Lima1,,,,Ctrb1,
Rnf19b,Cela1,,,,,
Marcksl1,Dtx3l,,,,,
Ptafr,Mrap,,,,,
Themis2,Mx2,,,,,
Fgr,Epb41l3,,,,,
Sfn,Fkbp5,,,,,
Cnr2,Abcg1,,,,,
Id3,C4b,,,,,
Pla2g2d,C2,,,,,
2510039O18Rik,Xdh,,,,,
Rpl22,Enpp4,,,,,
Lrrc47,B430306N03Rik,,,,,
Hes5,Cndp2,,,,,
Cd36,Cd226,,,,,
Aff1,Hbegf,,,,,
Cd38,Gm4951,,,,,
Klhl5,AW112010,,,,,
Scarb1,Ms4a6b,,,,,
Lat2,Ms4a4b,,,,,
Snx8,Ifit2,,,,,
Ttyh3,Lipa,,,,,
Tmem243,Ifit1bl1,,,,,
Rbm33,Ifit1bl2,,,,,
Tlr1,Npm3,,,,,
Rpl9,Mmp27,,,,,
Tec,Tnp2,,,,,
Grsf1,Cpb1,,,,,
Stbd1,Cela2a,,,,,
Hnrnpd,Cela3b,,,,,
Hpse,2210010C04Rik,,,,,
Rpl5,Try4,,,,,
A630023P12Rik,Reg1,,,,,
Ankrd13a,Sycn,,,,,
Srsf9,Nkapl,,,,,
Aldh2,Rnase1,,,,,
Sh2b3,Clps,,,,,
Hvcn1,Pnlip,,,,,
Atp2a2,,,,,,
P2rx4,,,,,,
Bri3bp,,,,,,
Slc15a4,,,,,,
Tpst1,,,,,,
Ncf1,,,,,,
Ache,,,,,,
Gnb2,,,,,,
Pilra,,,,,,
Mepce,,,,,,
Amz1,,,,,,
Fscn1,,,,,,
Flt3,,,,,,
Ubl3,,,,,,
Alox5ap,,,,,,
Rassf4,,,,,,
Irf5,,,,,,
Tspan33,,,,,,
Tacstd2,,,,,,
Capg,,,,,,
Mogs,,,,,,
Gp9,,,,,,
Il5ra,,,,,,
Clec4a1,,,,,,
Cd4,,,,,,
Ltbr,,,,,,
BC035044,,,,,,
Clec12a,,,,,,
Clec1b,,,,,,
Plbd1,,,,,,
C5ar1,,,,,,
Tgfb1,,,,,,
Pafah1b3,,,,,,
Sema4b,,,,,,
Zfp710,,,,,,
Swap70,,,,,,
Prkcb,,,,,,
Chst15,,,,,,
Pirb,,,,,,
Ncr1,,,,,,
Dnaaf3,,,,,,
Ppp6r1,,,,,,
Rpl28,,,,,,
Zfp628,,,,,,
Epn1,,,,,,
Ccdc9,,,,,,
Zfp296,,,,,,
Apoe,,,,,,
Bcl3,,,,,,
Plaur,,,,,,
Cd177,,,,,,
Cd79a,,,,,,
Pou2f2,,,,,,
Gsk3a,,,,,,
Ceacam1,,,,,,
B3gnt8,,,,,,
Blvrb,,,,,,
Plekhg2,,,,,,
Zfp36,,,,,,
Tyrobp,,,,,,
Kmt2b,,,,,,
Cd22,,,,,,
Cep89,,,,,,
Siglecg,,,,,,
Cd33,,,,,,
Siglece,,,,,,
Spib,,,,,,
Napsa,,,,,,
Ptov1,,,,,,
Bcl2l12,,,,,,
Siglech,,,,,,
Fes,,,,,,
Dgat2,,,,,,
Arrb1,,,,,,
Anapc15,,,,,,
Trim30b,,,,,,
Rpl27a,,,,,,
Ampd3,,,,,,
Rps13,,,,,,
Rps15a,,,,,,
Gga2,,,,,,
Sbk1,,,,,,
Cd19,,,,,,
Sult1a1,,,,,,
Maz,,,,,,
Zfp771,,,,,,
Zfp768,,,,,,
Inpp5f,,,,,,
Ifitm2,,,,,,
Hras,,,,,,
Tspan4,,,,,,
Tspan32,,,,,,
Cd81,,,,,,
Mrgpre,,,,,,
Sugp2,,,,,,
Pgpep1,,,,,,
Hp,,,,,,
Plcg2,,,,,,
Mcemp1,,,,,,
Fcer2a,,,,,,
Cd209a,,,,,,
Cd209d,,,,,,
Arglu1,,,,,,
Rnf122,,,,,,
Ankrd37,,,,,,
Upf1,,,,,,
Lrrc25,,,,,,
Jund,,,,,,
Ifi30,,,,,,
Ano8,,,,,,
Colgalt1,,,,,,
Cyp4f18,,,,,,
1700030K09Rik,,,,,,
Ptger1,,,,,,
Pkn1,,,,,,
Prkaca,,,,,,
Lyl1,,,,,,
Snx20,,,,,,
Ccl22,,,,,,
Fhod1,,,,,,
Carmil2,,,,,,
6430548M08Rik,,,,,,
Irf8,,,,,,
Myo1e,,,,,,
Rfx7,,,,,,
Izumo1r,,,,,,
Ldlr,,,,,,
Slc37a2,,,,,,
Nrgn,,,,,,
Vwa5a,,,,,,
Cxcr5,,,,,,
Pou2af1,,,,,,
Rab39,,,,,,
Ppcdc,,,,,,
Pml,,,,,,
Mir6385,,,,,,
Rplp1,,,,,,
Gclc,,,,,,
Ctsh,,,,,,
Paqr9,,,,,,
Trf,,,,,,
Tlr9,,,,,,
Pfkfb4,,,,,,
Mir6236,,,,,,
Klhl18,,,,,,
Rpsa,,,,,,
Vipr1,,,,,,
Lars2,,,,,,
Ccr1,,,,,,
Cybb,,,,,,
Huwe1,,,,,,
Rpl39,,,,,,
Srpk3,,,,,,
Rpl10,,,,,,
Maged1,,,,,,
F630028O10Rik,,,,,,
Rps4x,,,,,,
Xkrx,,,,,,
Btk,,,,,,
Rpl36a,,,,,,
Armcx2,,,,,,
Enpp1,,,,,,
Man1a,,,,,,
Rps12,,,,,,
Cd24a,,,,,,
Chst3,,,,,,
Vpreb3,,,,,,
Chchd10,,,,,,
Trpm2,,,,,,
Icosl,,,,,,
Madcam1,,,,,,
Rnf126,,,,,,
Rps15,,,,,,
Mknk2,,,,,,
Csnk1g2,,,,,,
Btbd2,,,,,,
Sf3a2,,,,,,
Dapk3,,,,,,
Ckap4,,,,,,
Lyz1,,,,,,
Cpm,,,,,,
Rassf3,,,,,,
Bcl11a,,,,,,
Alox12,,,,,,
Rnf130,,,,,,
Tnip1,,,,,,
Mnt,,,,,,
Rflnb,,,,,,
Rpl23,,,,,,
Atp6v0a1,,,,,,
Pecam1,,,,,,
Zmiz2,,,,,,
Rps27a,,,,,,
Il9r,,,,,,
Rhbdf1,,,,,,
Trim7,,,,,,
Rack1,,,,,,
Tnfrsf13b,,,,,,
2410006H16Rik,,,,,,
Kdm6b,,,,,,
Cd68,,,,,,
Fxr2,,,,,,
Plscr3,,,,,,
Ctdnep1,,,,,,
Zmynd15,,,,,,
Scimp,,,,,,
Slc43a2,,,,,,
Myo1c,,,,,,
Gngt2,,,,,,
Abi3,,,,,,
Mllt6,,,,,,
Igfbp4,,,,,,
Ccr7,,,,,,
Ghdc,,,,,,
Grn,,,,,,
Map3k14,,,,,,
Cd79b,,,,,,
Cd300a,,,,,,
Cd300ld,,,,,,
Cd300lf,,,,,,
Slc16a5,,,,,,
Mif4gd,,,,,,
Recql5,,,,,,
Fasn,,,,,,
Sdc1,,,,,,
Rnf144a,,,,,,
Strn3,,,,,,
Actn1,,,,,,
Rin3,,,,,,
Rhob,,,,,,
Trib2,,,,,,
Coch,,,,,,
Hspa2,,,,,,
Rdh12,,,,,,
Zfp36l1,,,,,,
Fos,,,,,,
Noxred1,,,,,,
Lgmn,,,,,,
Asb2,,,,,,
Mark3,,,,,,
Ppp1r13b,,,,,,
Pld4,,,,,,
Tgfbi,,,,,,
Gpr137b,,,,,,
Ly86,,,,,,
Mef2c,,,,,,
Irf4,,,,,,
Serpinb1a,,,,,,
Tubb2b,,,,,,
Pxdc1,,,,,,
Cd83,,,,,,
S1pr3,,,,,,
Syk,,,,,,
Rnf44,,,,,,
Dok3,,,,,,
Grk6,,,,,,
Tifab,,,,,,
Hnrnpa0,,,,,,
Lpcat1,,,,,,
Naip5,,,,,,
Marveld2,,,,,,
Gapt,,,,,,
Pxk,,,,,,
Wdfy4,,,,,,
Ktn1,,,,,,
Slc7a7,,,,,,
Tsc22d1,,,,,,
Dnase1l3,,,,,,
Rps24,,,,,,
Sh3bp5,,,,,,
Txndc16,,,,,,
Rnase6,,,,,,
Pck2,,,,,,
Arl11,,,,,,
Blk,,,,,,
Clu,,,,,,
Slc25a37,,,,,,
Rhobtb2,,,,,,
Egr3,,,,,,
Rubcnl,,,,,,
Lacc1,,,,,,
Kctd12,,,,,,
Dennd3,,,,,,
Ncf4,,,,,,
Prr5,,,,,,
Lrrk2,,,,,,
Fmnl3,,,,,,
Otulin,,,,,,
Trib1,,,,,,
Myc,,,,,,
Them6,,,,,,
Ly6d,,,,,,
Lynx1,,,,,,
Ly6g,,,,,,
Myh9,,,,,,
Csf2rb2,,,,,,
Csf2rb,,,,,,
Shisa8,,,,,,
Tnfrsf13c,,,,,,
Nfam1,,,,,,
5031439G07Rik,,,,,,
Mapk11,,,,,,
Plxnb2,,,,,,
Amigo2,,,,,,
Hdac7,,,,,,
Fkbp11,,,,,,
Kmt2d,,,,,,
Pou6f1,,,,,,
Smagp,,,,,,
Acvrl1,,,,,,
Nr4a1,,,,,,
Itga5,,,,,,
Ciita,,,,,,
St6gal1,,,,,,
Bcl6,,,,,,
Gcsam,,,,,,
Filip1l,,,,,,
Mgrn1,,,,,,
Rogdi,,,,,,
Dexi,,,,,,
Snn,,,,,,
Olfr164,,,,,,
Hes1,,,,,,
Fam43a,,,,,,
Rubcn,,,,,,
Rpl35a,,,,,,
Btla,,,,,,
Cd200,,,,,,
Retnlg,,,,,,
Gpr15,,,,,,
Sod1,,,,,,
Ifngr2,,,,,,
Tmem50b,,,,,,
Rasgrp3,,,,,,
Snx9,,,,,,
Ccnf,,,,,,
Abca3,,,,,,
Ift140,,,,,,
Sik1,,,,,,
H2-Eb2,,,,,,
Cd2ap,,,,,,
Zfp318,,,,,,
Twsg1,,,,,,
Tagap1,,,,,,
Ccr6,,,,,,
Rps2,,,,,,
Rgs11,,,,,,
Dusp1,,,,,,
Itpr3,,,,,,
Lemd2,,,,,,
Rps10,,,,,,
Rpl10a,,,,,,
Mtch1,,,,,,
Fgd2,,,,,,
Cyp4f16,,,,,,
Zfp870,,,,,,
Rgl2,,,,,,
Rps28,,,,,,
H2-DMb1,,,,,,
H2-Oa,,,,,,
H2-DMb2,,,,,,
H2-DMa,,,,,,
H2-Aa,,,,,,
H2-Eb1,,,,,,
H2-Ob,,,,,,
H2-Ab1,,,,,,
Vars,,,,,,
Lst1,,,,,,
Prrc2a,,,,,,
Olfr98,,,,,,
Tfeb,,,,,,
Treml4,,,,,,
Khsrp,,,,,,
Crb3,,,,,,
C3,,,,,,
Lbh,,,,,,
Haao,,,,,,
Epcam,,,,,,
Snx2,,,,,,
Csnk1g3,,,,,,
Ndst1,,,,,,
4930426D05Rik,,,,,,
Egr1,,,,,,
Mzb1,,,,,,
Cxxc5,,,,,,
Tmed7,,,,,,
Cd74,,,,,,
Mir5107,,,,,,
Rpl17,,,,,,
Ehd1,,,,,,
1110059E24Rik,,,,,,
Unc93b1,,,,,,
Doc2g,,,,,,
Pold4,,,,,,
Syvn1,,,,,,
Vegfb,,,,,,
Snhg1,,,,,,
Cyb561a3,,,,,,
Ms4a1,,,,,,
Abhd17b,,,,,,
Hhex,,,,,,
Blnk,,,,,,
Pi4k2a,,,,,,
Slc25a28,,,,,,
Scd1,,,,,,
Poll,,,,,,
Nfkb2,,,,,,
Psd,,,,,,
Calhm2,,,,,,
Csf2ra,,,,,,
