#125,#137,#63,#24,#123,#3
Stat4,Mitd1,Ephx1,Ptpn4,Serpine2,Gzmb
Cd48,Ifi203,Eif2d,Nabp1,Bcl2,Phf11a
Il18rap,Ptp4a1,Dyrk3,Fasl,Stat1,Pmaip1
Cd28,Slc40a1,2310009B15Rik,Il2ra,Tmem37,
Pogk,Arl4c,Mr1,Atp8b4,Marco,
Slamf7,Mdm4,Rabepk,S100a6,Ikbke,
Ly9,Rgs1,Tpd52,Slc25a24,Phlda3,
Capn2,Creg1,S100a4,Osbpl3,Tnfsf4,
Hsd11b1,Nectin4,Gne,Il12rb2,Slc19a2,
G0s2,Ifi214,Tmem268,Cd8a,Ifi204,
Zeb2,Ifi213,Fuca1,Nkg7,Ifi211,
Prkcq,Ifi208,Btbd19,Ccr5,Commd3,
Abtb2,Ifi207,Tnfrsf9,Ifng,Nrarp,
Tmx4,Il15ra,Plac8,Lpin1,Zbp1,
AA467197,Fcna,2610524H06Rik,Id2,Fabp5,
Slc20a1,Lcn4,Hcar2,Serpinb9,Zmat3,
Acss2,Ifih1,Mgst1,F2r,Mov10,
Sema4a,Galnt3,Gstk1,F2rl2,Gstm1,
Syt11,Sdcbp2,Clec7a,Trim13,Psrc1,
S100a10,Znfx1,Ldhb,Ly6c2,Ifi44,
Tstd3,Sec24d,Rps19,Cd226,Trp53inp1,
Rpa2,Fabp4,Il21r,Ms4a6b,Glipr2,
Ubxn2b,Tnfsf10,Ifitm3,Ms4a4b,Tnfsf8,
Dmrta1,Cd5l,Aga,Ifit1bl1,Sesn2,
Smpdl3b,Fcgr1,Cdk10,,Aldh4a1,
Nipal3,Gbp7,Ano10,,Fndc10,
Txk,Gbp2,Tmem205,,Tnfrsf18,
Taok3,Wwp1,St14,,Isg15,
Crot,Reck,Sat1,,Cdk6,
Klf3,Ttc39b,Ulbp1,,Lap3,
Hopx,Sdc3,Zfp365,,Cxcl10,
Selplg,Txn1,Mif,,Gbp6,
Vopp1,Trim32,Ifi35,,Oasl1,
Gprin3,Tlr4,Tcn2,,Oasl2,
Klra14-ps,Hacd4,Nek8,,Oas2,
Cd8b1,Prdx1,Slfn4,,Oas1g,
Arl6ip5,Plk3,Naglu,,Oas1a,
Bhlhe40,Tlr12,Socs3,,Akr1b10,
Klrg1,Fblim1,Dcaf4,,Gpnmb,
Klrb1c,AW011738,Coq6,,Herc6,
Klrk1,Gbp4,Serpina3g,,Tmem150a,
Klre1,Trafd1,Dusp22,,Usp18,
Klrd1,Hip1,Hk3,,Cd69,
Klrc1,Gbp9,Abhd4,,Etfbkmt,
Klra9,Gbp10,Ptp4a3,,Aen,
Emp1,Oas3,Ly6e,,Trim30a,
Kcnj8,Ccl24,Zfp41,,Adam8,
Slco3a1,Ccnd2,Cacnb3,,Cox6b2,
Dpy19l3,Amn1,Ddx23,,Bbc3,
Plekhf1,Tmem229a,Rpl24,,Flt3l,
Ccp110,Akr1b7,Klhl22,,Bax,
Spn,Parp12,Ccdc58,,Ddias,
Itgal,Prss2,Cd80,,Il18bp,
Itgb1,Gimap3,Pim1,,Trim30d,
S1pr2,Clec4n,Kank3,,Dcun1d3,
Acsbg1,Cd163,Lta,,Irf7,
Atp1b3,Itpripl2,Treml2,,Pidd1,
Pxylp1,Art2b,Cyb5a,,Zfp958,
Cx3cr1,1600014C10Rik,Sac3d1,,Gdf15,
